city,area,latitude,longitude
Abertamy,Karlovy Vary,50.368855,12.818377
Adamov,České Budějovice,49.000624,14.539603
Adamov,Blansko,49.295708,16.663955
Adamov,Kutná Hora,49.857917,15.409018
Adršpach,Náchod,50.624387,16.083501
Albrechtice,Karviná,49.786552,18.524545
Albrechtice,Ústí nad Orlicí,49.927643,16.644801
Albrechtice nad Orlicí,Rychnov nad Kněžnou,50.139886,16.064472
Albrechtice nad Vltavou,Písek,49.253337,14.302929
Albrechtice v Jizerských horách,Jablonec nad Nisou,50.762400,15.275813
Albrechtičky,Nový Jičín,49.701790,18.095627
Alojzov,Prostějov,49.423541,17.041589
Andělská Hora,Karlovy Vary,50.204490,12.962918
Andělská Hora,Bruntál,50.060911,17.389192
Anenská Studánka,Ústí nad Orlicí,49.849856,16.540330
Archlebov,Hodonín,49.043689,17.004911
Arneštovice,Pelhřimov,49.531610,15.117873
Arnolec,Jihlava,49.436298,15.823702
Arnoltice,Děčín,50.837124,14.264055
Aš,Cheb,50.223983,12.195113
Babice,Prachatice,49.024865,14.237677
Babice,Třebíč,49.135413,15.770586
Babice,Hradec Králové,50.192196,15.585617
Babice,Olomouc,49.737929,17.260966
Babice,Praha-východ,50.008089,14.715907
Babice,Uherské Hradiště,49.123859,17.476827
Babice nad Svitavou,Brno-venkov,49.283402,16.696235
Babice u Rosic,Brno-venkov,49.173078,16.358273
Babylon,Domažlice,49.398761,12.862893
Bácovice,Pelhřimov,49.455771,15.158118
Bačalky,Jičín,50.385047,15.153530
Bačetín,Rychnov nad Kněžnou,50.299877,16.233416
Bačice,Třebíč,49.081736,16.027802
Bačkov,Havlíčkův Brod,49.735384,15.462118
Bačkovice,Třebíč,48.965699,15.589000
Bakov nad Jizerou,Mladá Boleslav,50.482406,14.941596
Baliny,Žďár nad Sázavou,49.332666,15.952501
Balkova Lhota,Tábor,49.452124,14.608319
Banín,Svitavy,49.665712,16.462030
Bánov,Uherské Hradiště,48.988113,17.717631
Báňovice,Jindřichův Hradec,49.011855,15.490340
Bantice,Znojmo,48.883187,16.182493
Barchov,Hradec Králové,50.197698,15.567740
Barchov,Pardubice,49.999411,15.680910
Barchovice,Kolín,49.944355,14.969206
Bartošovice,Nový Jičín,49.668940,18.054715
Bartošovice v Orlických horách,Rychnov nad Kněžnou,50.164080,16.547862
Bartoušov,Havlíčkův Brod,49.601128,15.618547
Bařice-Velké Těšany,Kroměříž,49.245527,17.426201
Baška,Frýdek-Místek,49.645943,18.372443
Bašnice,Jičín,50.334576,15.605129
Bašť,Praha-východ,50.205242,14.477405
Batelov,Jihlava,49.290179,15.410734
Batňovice,Trutnov,50.517692,16.036740
Bavorov,Strakonice,49.121951,14.079028
Bavory,Břeclav,48.834789,16.622349
Bavoryně,Beroun,49.895907,13.961126
Bdeněves,Plzeň-sever,49.769640,13.235291
Bdín,Rakovník,50.214245,13.858851
Bečice,České Budějovice,49.215784,14.501318
Bečice,Tábor,49.381437,14.539787
Bečov,Most,50.449824,13.717955
Bečov nad Teplou,Karlovy Vary,50.083561,12.838429
Bečváry,Kolín,49.956809,15.079916
Bedihošť,Prostějov,49.448359,17.166534
Bednárec,Jindřichův Hradec,49.195339,15.093296
Bednáreček,Jindřichův Hradec,49.210179,15.144034
Bedřichov,Blansko,49.461276,16.465422
Bedřichov,Jablonec nad Nisou,50.791188,15.142571
Běhařov,Klatovy,49.344879,13.160291
Běhařovice,Znojmo,49.004036,16.078723
Běchary,Jičín,50.314130,15.292617
Bechlín,Litoměřice,50.416252,14.341026
Bechyně,Tábor,49.295336,14.468202
Bělá,Havlíčkův Brod,49.754546,15.240686
Bělá,Pelhřimov,49.312617,15.260715
Bělá,Semily,50.534417,15.445427
Bělá,Opava,49.972429,18.144995
Bělá nad Radbuzou,Domažlice,49.591261,12.717718
Bělá nad Svitavou,Svitavy,49.640287,16.482734
Bělá pod Bezdězem,Mladá Boleslav,50.501314,14.804290
Bělá pod Pradědem,Jeseník,50.164036,17.196677
Bělá u Jevíčka,Svitavy,49.639593,16.646009
Bělčice,Strakonice,49.502517,13.875856
Běleč,Tábor,49.543779,14.837357
Běleč,Brno-venkov,49.434036,16.383235
Běleč,Kladno,50.056269,13.993082
Běleč nad Orlicí,Hradec Králové,50.198081,15.942805
Bělkovice-Lašťany,Olomouc,49.668757,17.317289
Běloky,Kladno,50.131539,14.220862
Bělotín,Přerov,49.591300,17.806648
Bělov,Zlín,49.216090,17.484879
Bělušice,Kolín,50.069172,15.322001
Bělušice,Most,50.449262,13.762928
Benátky,Hradec Králové,50.310292,15.736096
Benátky,Svitavy,49.854287,16.326847
Benátky nad Jizerou,Mladá Boleslav,50.289261,14.824612
Benecko,Semily,50.666433,15.548272
Benešov,Blansko,49.509531,16.770698
Benešov,Benešov,49.783882,14.687470
Benešov nad Černou,Český Krumlov,48.729507,14.627471
Benešov nad Ploučnicí,Děčín,50.741692,14.312500
Benešov u Semil,Semily,50.603258,15.368478
Benešovice,Tachov,49.726964,12.901799
Benetice,Třebíč,49.297738,15.867436
Beňov,Přerov,49.417460,17.501452
Bernardov,Kutná Hora,50.014231,15.398668
Bernartice,Písek,49.368999,14.381118
Bernartice,Trutnov,50.644783,15.965926
Bernartice,Jeseník,50.389907,17.078379
Bernartice,Benešov,49.675666,15.129249
Bernartice nad Odrou,Nový Jičín,49.610207,17.947885
Beroun,Beroun,49.967305,14.086384
Běrunice,Nymburk,50.185843,15.333694
Beřovice,Kladno,50.269119,14.123660
Besednice,Český Krumlov,48.790089,14.556987
Běstovice,Ústí nad Orlicí,50.020237,16.211026
Běstvina,Chrudim,49.837134,15.595868
Běšiny,Klatovy,49.301709,13.312677
Běštín,Beroun,49.807406,14.016340
Bezděčí u Trnávky,Svitavy,49.692503,16.763539
